time
Atlético Mineiro
Bahia
Botafogo
Corinthians
Cruzeiro
Flamengo
Fluminense
Fortaleza
Grêmio
Internacional
Palmeiras
Red Bull Bragantino
Santos
São Paulo
Vasco da Gama
Vitória
Athletico Paranaense
Ceará
Juventude
Cuiabá
